,movies,year,imdb_rating,metascore,number_of_votes,n_imdb
2544,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
2545,Toy Story,1995,8.3,95,742862,83.0
2546,Jurassic Park,1993,8.1,68,737138,81.0
2547,The Shining,1980,8.4,63,728819,84.0
2548,A Beautiful Mind,2001,8.2,72,727526,82.0
2549,Mad Max: Fury Road,2015,8.1,90,723851,81.0
2550,No Country for Old Men,2007,8.1,91,722825,81.0
2551,Good Will Hunting,1997,8.3,70,721931,83.0
2552,Slumdog Millionaire,2008,8.0,86,716706,80.0
2553,Gone Girl,2014,8.1,79,710979,81.0
2554,Sin City,2005,8.0,74,701757,80.0
2555,Monsters Inc.,2001,8.1,78,695989,81.0
2556,The Terminator,1984,8.0,84,693260,80.0
2557,Die Hard,1988,8.2,70,683978,82.0
2558,Alien,1979,8.5,83,674743,85.0
2559,Gravity,2013,7.7,96,671223,77.0
2560,Donnie Darko,2001,8.1,88,669077,81.0
2561,Requiem for a Dream,2000,8.3,68,666675,83.0
2562,Catch Me If You Can,2002,8.1,75,665288,81.0
2563,A Clockwork Orange,1971,8.3,78,652211,83.0
2564,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
2565,The Hangover,2009,7.7,73,643776,77.0
2566,Toy Story 3,2010,8.3,92,643076,83.0
2567,Iron Man Three,2013,7.2,62,643053,72.0
2568,Gran Torino,2008,8.1,72,641602,81.0
2569,Scarface,1983,8.3,65,627909,83.0
2570,The Big Lebowski,1998,8.1,69,627050,81.0
2571,The Martian,2015,8.0,80,626956,80.0
2572,Amélie,2001,8.3,69,621149,83.0
2573,Black Swan,2010,8.0,79,619293,80.0
2574,City of God,2002,8.6,79,612325,86.0
2575,Spider-Man,2002,7.3,73,611215,73.0
2576,Captain America: The First Avenger,2011,6.9,66,608919,69.0
2577,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
2578,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
2579,I Am Legend,2007,7.2,65,606795,72.0
2580,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
2581,Taxi Driver,1976,8.3,94,600305,83.0
2582,The Pianist,2002,8.5,85,598137,85.0
2583,Silver Linings Playbook,2012,7.8,81,597429,78.0
2584,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
2585,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
2586,Blade Runner,1982,8.2,89,592183,82.0
2587,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
2588,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
2589,District 9,2009,7.9,81,584741,79.0
2590,X: First Class,2011,7.8,65,582944,78.0
2591,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
2592,The Imitation Game,2014,8.0,73,581323,80.0
2593,Full Metal Jacket,1987,8.3,76,574404,83.0
2594,How to Train Your Dragon,2010,8.1,74,573194,81.0
2595,Skyfall,2012,7.8,81,572893,78.0
2596,Aliens,1986,8.4,84,571663,84.0
2597,The King's Speech,2010,8.0,88,567609,80.0
2598,The Revenant,2015,8.0,76,567555,80.0
2599,The Bourne Ultimatum,2007,8.0,85,563232,80.0
2600,Trainspotting,1996,8.2,83,562192,82.0
2601,Million Dollar Baby,2004,8.1,86,559844,81.0
2602,Whiplash,2014,8.5,88,559811,85.0
2603,The Incredibles,2004,8.0,90,559084,80.0
2604,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
2605,Transformers,2007,7.1,61,554168,71.0
2606,12 Angry Men,1957,8.9,96,551058,89.0
2607,Star Trek,2009,8.0,82,545148,80.0
2608,Pan's Labyrinth,2006,8.2,98,545111,82.0
2609,The Social Network,2010,7.7,95,544959,77.0
2610,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
2611,Ratatouille,2007,8.0,96,543097,80.0
2612,12 Years a Slave,2013,8.1,96,543047,81.0
2613,Fargo,1996,8.1,85,533104,81.0
2614,Shrek,2001,7.9,84,530118,79.0
2615,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
2616,World War Z,2013,7.0,63,529104,70.0
2617,Twelve Monkeys,1995,8.0,74,524491,80.0
2618,Prometheus,2012,7.0,64,521150,70.0
2619,Apocalypse Now,1979,8.5,94,520058,85.0
2620,Casino Royale,2006,8.0,80,519852,80.0
2621,Ted,2012,7.0,62,519682,70.0
2622,Spirited Away,2001,8.6,96,516890,86.0
2623,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
2624,Edge of Tomorrow,2014,7.9,71,516275,79.0
2625,Groundhog Day,1993,8.0,72,514963,80.0
2626,Argo,2012,7.7,86,513656,77.0
2627,Captain America: Civil War,2016,7.8,75,512833,78.0
2628,X-Men,2000,7.4,64,512495,74.0
2629,2001: A Space Odyssey,1968,8.3,82,509086,83.0
2630,Life of Pi,2012,7.9,79,507235,79.0
2631,The Amazing Spider-Man,2012,7.0,66,503570,70.0
2632,Psycho,1960,8.5,97,502693,85.0
2633,Into the Wild,2007,8.1,73,500615,81.0
2634,Heat,1995,8.2,76,498521,82.0
2635,Drive,2011,7.8,78,497249,78.0
2636,Logan,2017,8.1,77,495828,81.0
2637,Prisoners,2013,8.1,74,490946,81.0
2638,Inside Out,2015,8.2,94,490214,82.0
2639,Frozen,2013,7.5,74,488549,75.0
2640,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
2641,Jaws,1975,8.0,87,484517,80.0
2642,Kick-Ass,2010,7.6,66,480883,76.0
2643,Looper,2012,7.4,84,480184,74.0
2644,Spider-Man 2,2004,7.3,83,473808,73.0
2645,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
2646,L.A. Confidential,1997,8.3,90,472355,83.0
2647,Superbad,2007,7.6,76,465208,76.0
2648,The Matrix Reloaded,2003,7.2,62,461122,72.0
2649,X2,2003,7.5,68,459676,75.0
2650,Arrival,2016,7.9,81,459227,79.0
2651,21 Jump Street,2012,7.2,69,459122,72.0
2652,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
2653,The Bourne Identity,2002,7.9,68,458251,79.0
