,movies,year,imdb_rating,metascore,number_of_votes,n_imdb
421,Prisoners,2013,8.1,74,490946,81.0
422,Inside Out,2015,8.2,94,490214,82.0
423,Frozen,2013,7.5,74,488549,75.0
424,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
425,Jaws,1975,8.0,87,484517,80.0
426,Kick-Ass,2010,7.6,66,480883,76.0
427,Looper,2012,7.4,84,480184,74.0
428,Spider-Man 2,2004,7.3,83,473808,73.0
429,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
430,L.A. Confidential,1997,8.3,90,472355,83.0
431,Superbad,2007,7.6,76,465208,76.0
432,The Matrix Reloaded,2003,7.2,62,461122,72.0
433,X2,2003,7.5,68,459676,75.0
434,Arrival,2016,7.9,81,459227,79.0
435,21 Jump Street,2012,7.2,69,459122,72.0
436,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
437,The Bourne Identity,2002,7.9,68,458251,79.0
438,The Lord of the Rings: The Return of the King,2003,8.9,94,1408544,89.0
439,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63,924781,80.0
440,Kill Bill: Vol. 1,2003,8.1,69,855739,81.0
441,Finding Nemo,2003,8.1,90,820082,81.0
442,The Matrix Reloaded,2003,7.2,62,461122,72.0
443,X2,2003,7.5,68,459676,75.0
444,Oldeuboi,2003,8.4,74,430622,84.0
445,Mystic River,2003,8.0,84,374386,80.0
446,Lost in Translation,2003,7.8,89,359274,78.0
447,Terminator 3: Rise of the Machines,2003,6.3,66,337098,63.0
448,The Italian Job,2003,7.0,68,311861,70.0
449,School of Rock,2003,7.1,82,233201,71.0
450,21 Grams,2003,7.7,70,206420,77.0
451,Identity,2003,7.3,64,200501,73.0
452,Master and Commander: The Far Side of the World,2003,7.4,81,184147,74.0
453,Elf,2003,6.9,64,174108,69.0
454,Cold Mountain,2003,7.2,73,128313,72.0
455,Good Bye Lenin!,2003,7.7,68,125365,77.0
456,Bad Santa,2003,7.1,70,122897,71.0
457,Monster,2003,7.3,74,119392,73.0
458,Matchstick Men,2003,7.3,61,114984,73.0
459,Freaky Friday,2003,6.2,70,109872,62.0
460,The Sixth Sense,1999,8.1,64,806444,81.0
461,Iron Man,2008,7.9,79,802956,79.0
462,Up,2009,8.3,88,794144,83.0
463,The Truman Show,1998,8.1,90,789068,81.0
464,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
465,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
466,Reservoir Dogs,1992,8.3,79,779577,83.0
467,The Lion King,1994,8.5,83,776378,85.0
468,The Hunger Games,2012,7.2,68,770809,72.0
469,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
470,Deadpool,2016,8.0,65,748247,80.0
471,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
472,Toy Story,1995,8.3,95,742862,83.0
473,Jurassic Park,1993,8.1,68,737138,81.0
474,The Shining,1980,8.4,63,728819,84.0
475,A Beautiful Mind,2001,8.2,72,727526,82.0
476,Mad Max: Fury Road,2015,8.1,90,723851,81.0
477,No Country for Old Men,2007,8.1,91,722825,81.0
478,Good Will Hunting,1997,8.3,70,721931,83.0
479,Slumdog Millionaire,2008,8.0,86,716706,80.0
480,Gone Girl,2014,8.1,79,710979,81.0
481,Sin City,2005,8.0,74,701757,80.0
482,Monsters Inc.,2001,8.1,78,695989,81.0
483,The Terminator,1984,8.0,84,693260,80.0
484,Die Hard,1988,8.2,70,683978,82.0
485,Alien,1979,8.5,83,674743,85.0
486,Gravity,2013,7.7,96,671223,77.0
487,Donnie Darko,2001,8.1,88,669077,81.0
488,Requiem for a Dream,2000,8.3,68,666675,83.0
489,Catch Me If You Can,2002,8.1,75,665288,81.0
490,A Clockwork Orange,1971,8.3,78,652211,83.0
491,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
492,The Hangover,2009,7.7,73,643776,77.0
493,Toy Story 3,2010,8.3,92,643076,83.0
494,Iron Man Three,2013,7.2,62,643053,72.0
495,Gran Torino,2008,8.1,72,641602,81.0
496,Scarface,1983,8.3,65,627909,83.0
497,The Big Lebowski,1998,8.1,69,627050,81.0
498,The Martian,2015,8.0,80,626956,80.0
499,Amélie,2001,8.3,69,621149,83.0
500,Black Swan,2010,8.0,79,619293,80.0
501,City of God,2002,8.6,79,612325,86.0
502,Spider-Man,2002,7.3,73,611215,73.0
503,Captain America: The First Avenger,2011,6.9,66,608919,69.0
504,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
505,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
506,I Am Legend,2007,7.2,65,606795,72.0
507,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
508,Taxi Driver,1976,8.3,94,600305,83.0
509,The Pianist,2002,8.5,85,598137,85.0
510,Silver Linings Playbook,2012,7.8,81,597429,78.0
511,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
512,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
513,Blade Runner,1982,8.2,89,592183,82.0
514,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
